Created At: 2026-07-13T01:55:48Z
Completed At: 2026-07-13T01:55:48Z
File Path: `file:///c:/Users/user/OneDrive/Escritorio/Evaluaci%C3%B3n%20por%20competencias/src/hooks/useSupabaseData.ts`
Total Lines: 460
Total Bytes: 25967
Showing lines 111 to 250
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
111:                     };
196:                     competencias: c.competencias as BCKey[] || [],
197:                     descriptores: c.descriptores as string[] || [],
198:                     puntaje: c.puntaje as number,
199:                     recuperacion: c.recuperacion as number,
200:                     sharedCourseId: (c.shared_course_id as string) || (cursos?.find(cur => cur.id === c.curso_id)?.grupo_id ? `group_${cursos.find(cur => cur.id === c.curso_id)?.grupo_id}` : String(c.curso_id))
201:                 })),
202:                 recuperaciones: (recuperaciones || []).map((r: Record<string, unknown>): RecuperacionBC => ({
203:                     estudianteId: r.estudiante_id as number,
204:                     cursoId: r.curso_id as number,
205:                     bc: r.bc as 1 | 2 | 3 | 4,
206:                     puntaje: r.puntaje as number,
207:                     periodo: r.periodo as string,
208:                     sharedCourseId: (r.shared_course_id as string) || (cursos?.find(cur => cur.id === r.curso_id)?.grupo_id ? `group_${cursos.find(cur => cur.id === r.curso_id)?.grupo_id}` : String(r.curso_id)),
209:                     userId: r.user_id as string,
210:                     asignatura: r.asignatura as string,
211:                     fecha: r.created_at as string
212:                 })),
213:                 secuencias: (secuencias || []).map((s: Record<string, unknown>): Secuencia => ({
214:                     id: s.id as number,
215:                     titulo: s.titulo as string,
216:                     cursoId: s.curso_id as number,
217:                     fechaInicio: s.fecha_inicio as string,
218:                     contenidoHtml: s.contenido_html as string,
219:                     estado: s.estado as 'Pendiente' | 'En progreso' | 'Completada',
220:                     archivoUrl: s.archivo_url as string | undefined,
221:                     archivoNombre: s.archivo_nombre as string | undefined,
222:                     archivoSize: s.archivo_size as number | undefined,
223:                     archivoTipo: s.archivo_tipo as string | undefined,
224:                     archivoFechaCarga: s.archivo_fecha_carga as string | undefined
225:                 })),
226:                 incidencias: (incidencias || []).map((i: Record<string, unknown>): Incidencia => ({
227:                     id: i.id as number,
228:                     estudianteId: i.estudiante_id as number,
229:                     categoria: i.categoria as 'Conducta' | 'Académico' | 'Salud' | 'Otro',
230:                     descripcion: i.descripcion as string,
231:                     accionesTomadas: i.acciones_tomadas as string[] || [],
232:                     acuerdos: i.acuerdos as string,
233:                     fecha: i.fecha as string,
234:                     gravedad: i.gravedad as 'leve' | 'moderada' | 'grave',
235:                     userId: i.user_id as string,
236:                     sharedCourseId: (i.shared_course_id as string) || (estudiantes?.find(e => e.id === i.estudiante_id)?.shared_course_id as string) || (estudiantes?.find(e => e.id === i.estudiante_id)?.curso_id ? String(estudiantes?.find(e => e.id === i.estudiante_id)?.curso_id) : '')
237:                 })),
238:                 eventos: (eventos || []).map((ev: Record<string, unknown>): EventoCalendario => ({
239:                     id: ev.id as number,
240:                     titulo: ev.titulo as string,
241:                     fecha: ev.fecha as string,
242:                     tipo: ev.tipo as 'evaluacion' | 'reunion' | 'actividad' | 'otro'
243:                 })),
244:                 posts: [...optimisticPosts, ...mappedPosts],
245:                 docentes: Array.from(new Map<string, Docente>([
246:                     ...(docentes || []).map((d: Record<string, unknown>): [string, Docente] => [d.nombre as string || '', {
247:                         id: d.id as string | number,
248:                         userId: d.user_id as string,
249:                         nombre: d.nombre as string || 'Colega',
250:                         asignatura: d.asignatura as string || '',
The above content does NOT show the entire file contents. If you need to view any lines of the file which were not shown to complete your task, call this tool again to view those lines.
